pin: 5
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): -0.33	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.03	 current (A): -2.93	 throttle (%) 20
thrust (kg): 0.28	 current (A): -2.60	 throttle (%) 20
thrust (kg): 0.29	 current (A): -2.28	 throttle (%) 20
thrust (kg): 0.29	 current (A): -2.28	 throttle (%) 20
thrust (kg): 0.29	 current (A): -2.28	 throttle (%) 20
thrust (kg): 0.29	 current (A): -2.28	 throttle (%) 20
thrust (kg): 0.29	 current (A): -2.60	 throttle (%) 20
thrust (kg): 0.29	 current (A): -2.28	 throttle (%) 20
thrust (kg): 0.28	 current (A): -2.28	 throttle (%) 20
thrust (kg): 0.29	 current (A): -2.28	 throttle (%) 20
thrust (kg): 0.29	 current (A): -2.28	 throttle (%) 20
thrust (kg): 0.43	 current (A): -21.16	 throttle (%) 50
thrust (kg): 1.16	 current (A): -19.21	 throttle (%) 50
thrust (kg): 1.17	 current (A): -19.21	 throttle (%) 50
thrust (kg): 1.17	 current (A): -18.88	 throttle (%) 50
thrust (kg): 1.16	 current (A): -18.88	 throttle (%) 50
thrust (kg): 1.15	 current (A): -18.55	 throttle (%) 50
thrust (kg): 1.15	 current (A): -18.55	 throttle (%) 50
thrust (kg): 1.14	 current (A): -18.88	 throttle (%) 50
thrust (kg): 1.14	 current (A): -18.55	 throttle (%) 50
thrust (kg): 1.13	 current (A): -17.90	 throttle (%) 50
thrust (kg): 0.81	 current (A): -0.98	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
