pin: 5
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): -0.33	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.03	 current (A): -3.58	 throttle (%) 25
thrust (kg): 0.32	 current (A): -3.26	 throttle (%) 25
thrust (kg): 0.33	 current (A): -3.26	 throttle (%) 25
thrust (kg): 0.33	 current (A): -3.26	 throttle (%) 25
thrust (kg): 0.33	 current (A): -3.26	 throttle (%) 25
thrust (kg): 0.33	 current (A): -2.93	 throttle (%) 25
thrust (kg): 0.33	 current (A): -2.93	 throttle (%) 25
thrust (kg): 0.33	 current (A): -2.93	 throttle (%) 25
thrust (kg): 0.33	 current (A): -2.93	 throttle (%) 25
thrust (kg): 0.33	 current (A): -3.26	 throttle (%) 25
thrust (kg): 0.33	 current (A): -2.93	 throttle (%) 25
thrust (kg): 0.33	 current (A): -2.93	 throttle (%) 25
thrust (kg): 0.53	 current (A): -14.97	 throttle (%) 50
thrust (kg): 1.04	 current (A): -14.65	 throttle (%) 50
thrust (kg): 1.03	 current (A): -14.32	 throttle (%) 50
thrust (kg): 1.03	 current (A): -14.32	 throttle (%) 50
thrust (kg): 1.02	 current (A): -14.00	 throttle (%) 50
thrust (kg): 1.02	 current (A): -14.65	 throttle (%) 50
thrust (kg): 1.01	 current (A): -13.67	 throttle (%) 50
thrust (kg): 1.25	 current (A): -33.20	 throttle (%) 75
thrust (kg): 1.87	 current (A): -36.46	 throttle (%) 75
thrust (kg): 1.85	 current (A): -35.16	 throttle (%) 75
thrust (kg): 1.82	 current (A): -34.83	 throttle (%) 75
thrust (kg): 2.01	 current (A): -66.08	 throttle (%) 100
thrust (kg): 2.52	 current (A): -63.15	 throttle (%) 100
thrust (kg): 2.46	 current (A): -60.55	 throttle (%) 100
thrust (kg): 1.67	 current (A): -2.93	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.02	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.33	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.33	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): -0.00	 current (A): 0.00	 throttle (%) 0
