 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.48 	 W: 0.97 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.48 	 W: 0.97 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.48 	 W: 0.97 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.33 	 V: 1.48 	 W: 0.48 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.46 	 W: 0.95 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.46 	 W: 0.95 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.46 	 W: 0.95 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.46 	 W: 0.95 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.33 	 V: 1.46 	 W: 0.47 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.46 	 W: 0.95 	 Thr: 0 	 Hz: 85
T: 0.01 	 C: 0.65 	 V: 1.46 	 W: 0.95 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.43 	 W: 0.93 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.43 	 W: 0.93 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.43 	 W: 0.93 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.43 	 W: 0.93 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.43 	 W: 0.93 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.43 	 W: 0.93 	 Thr: 0 	 Hz: 85
T: 0.01 	 C: 0.65 	 V: 1.40 	 W: 0.91 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.40 	 W: 0.91 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.40 	 W: 0.91 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.33 	 V: 1.40 	 W: 0.46 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.40 	 W: 0.91 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.40 	 W: 0.91 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.40 	 W: 0.91 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.38 	 W: 0.90 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.33 	 V: 1.38 	 W: 0.45 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.38 	 W: 0.90 	 Thr: 0 	 Hz: 84
